"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro","haploid","auto.hap"
"Anourosorex squamipes",0,"XY","Anourosorex squamipes","Anourosorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","MILNE-EDWARDS 1872",1872,"Mammals",0,110,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",20,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anourosorex squamipes","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",141,103.5965826,27.11290258,0,27.11290258,"This work",0,0,0.411347518,0,0,0,0.588652482,0,154.0778359,1263.777758,5530.05474,79.66697475,1371.141545,497.5849452,158.5190064,0.005213171,0.107847831,0.078809086,0.002317997,0.083333333,25,24
"Blarina brevicauda",0,"XY","Blarina brevicauda","Blarina","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","SAY 1823",1823,"Mammals",0,120.82,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",28,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarina brevicauda","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",429,-88.71327097,43.99046752,0,43.99046752,"This work",0,0,0,1,0,0,0,0,76.70423536,831.9122632,10099.04062,35.03536248,382.3286747,219.60047,49.49103046,0.010306045,0.172858392,0.05087395,0.058645157,1,25,24
"Blarina carolinensis",0,"XY","Blarina carolinensis","Blarina","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","BACHMAN 1837",1837,"Mammals",0,71,"HBL",0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",28,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,0,0,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",0.25,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarina carolinensis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",111,-86.63700247,32.72568298,0,32.72568298,"This work",0,0,0,1,0,0,0,0,181.4223368,1331.987377,6744.127626,22.07444197,70.37152441,133.7765108,56.76648795,0.013028679,0.14115524,0.053336979,0.00129617,1,26,25
"Blarina hylophaga",0,"XY","Blarina hylophaga","Blarina","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","ELLIOT 1899",1899,"Mammals",0,71,"HBL",0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",28,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,0,0,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",0.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarina hylophaga","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",79,-93.96301792,37.10925545,0,37.10925545,"This work",0,0,0,1,0,0,0,0,143.8743243,1019.610011,8928.723973,31.31436424,282.5777877,159.0358928,29.3993959,0.008132516,0.249713214,0.099425071,0.098908888,0.76,26,25
"Crocidura bottegi",0,"XY","Crocidura bottegi","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","THOMAS 1898",1898,"Mammals",1,51,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",4,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"Attuquayefio, Ryan, 2006, West Afr. J. Appl. Ecol., 10:1-11",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura bottegi","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",14,38.48579444,5.188327844,0,5.188327844,"This work",1,0,0,0,0,0,0,0,205.7960187,981.3368557,1191.319946,67.77016909,1540.415618,503.0138594,117.7482469,0.001229871,0.133551993,0.184467374,0.018634956,0.578947368,20,19
"Crocidura crossei",0,"XY","Crocidura crossei","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","THOMAS 1895",1895,"Mammals",0,80,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",8,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura crossei","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",125,-2.938548043,7.529779024,0,7.529779024,"This work",1,0,0,0,0,0,0,0,258.6130154,1652.860461,1315.936502,69.13170414,236.4688828,265.893554,167.4883629,0.007209016,0.200338127,0.246968124,0.008598065,0.523809524,22,21
"Crocidura gracilipes",0,"XY","Crocidura gracilipes","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","PETERS 1870",1870,"Mammals",1,65,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",6.7,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Martin, 1985, J. Trop. Ecol., 1:217-224",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura gracilipes","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",4,31.75641364,2.155426577,0,2.155426577,"This work",1,0,0,0,0,0,0,0,233.4558098,1180.053737,1003.675039,50.96272791,960.1996945,284.0078573,113.0041582,0.003269008,0.242630266,0.138199151,0.012323143,0.36,26,25
"Crocidura lamottei",0,"XY","Crocidura lamottei","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","HEIM DE BALSAC 1968",1968,"Mammals",0,90,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",23,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura lamottei","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",167,-2.725733541,9.659132658,0,9.659132658,"This work",1,0,0,0,0,0,0,0,265.9799143,1312.452107,1763.256538,90.81596444,291.5649363,272.7140489,97.24880134,0.004070649,0.202222911,0.281506596,0.016627818,0.72,26,25
"Crocidura lasiura",0,"XY","Crocidura lasiura","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","DOBSON 1890",1890,"Mammals",0,104,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",14.8,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura lasiura","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",181,126.3571222,42.48126651,0,42.48126651,"This work",0,0,0,0,0,0,1,0,64.37371529,729.4953225,12394.56128,94.25806852,276.9504539,256.512387,243.6828046,0.006701295,0.151878615,0.100191165,0.012974836,0.578947368,20,19
"Crocidura leucodon",0,"XY","Crocidura leucodon","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","HERMANN 1780",1780,"Mammals",0,86,"",1,"Phylogenetic Multiple Imputation",11.7,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura leucodon","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",452,26.83142243,44.03921045,0,44.03921045,"This work",0,0,0,0,0,0,1,0,102.8736623,687.4355712,7705.60082,34.46284506,602.3152219,138.8671089,121.5586599,0.007569736,0.19270151,0.071491378,0.020293948,0,14,13
