"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro"
"Ametrida centurio",1,"XAfusion","Ametrida centurio","Ametrida","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1847",1847,"Mammals",0,55,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",12.6,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Ametrida centurio","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",543,-60.16800341,-1.274066669,0,1.274066669,"This work",0,0,0,0,1,0,0,0,251.3404861,2203.335026,651.3235477,56.54268467,245.0767223,1545.512085,14.2745164,0.00106991,0.03101696,0.038647684,0.058072365,0.142857143
"Anoura canishina",0,"XY","Anoura canishina","Anoura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MANTILLA-MELUK & BAKER, 2010",2010,"Mammals",1,66,"",1,"Phylogenetic Multiple Imputation",15.06,1,"Phylogenetic Multiple Imputation",0,1,1,"Taxonomic Imputation",1,0,0,0,0,1,1,"Taxonomic Imputation",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Taxonomic Imputation",1,0,0,1,1,"Taxonomic Imputation","","","",20,-75.66562309,6.174985553,0,6.174985553,"This work",0,0,0,0,1,0,0,0,216.6052713,2618.036152,284.5969217,40.65532107,1000.573648,361.7183411,136.4558968,0.005359716,0.051503891,0.336967067,0.000263836,NA
"Anoura caudifer",0,"XY","Anoura caudifer","Anoura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","É. GEOFFROY SAINT-HILAIRE 1818",1818,"Mammals",0,58.32,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",11.5,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anoura caudifer","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",612,-61.7981711,-7.287630709,0,7.287630709,"This work",0,0,0,0,1,0,0,0,233.3821432,2016.08081,1142.354227,53.55818371,522.0144638,1178.071706,33.76922196,0.003291349,0.081465065,0.072396962,0.100789317,NA
"Anoura cultrata",0,"XY","Anoura cultrata","Anoura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","HANDLEY 1960",1960,"Mammals",0,78,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",17.39,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anoura cultrata","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",126,-74.73427273,-0.658546806,0,0.658546806,"This work",0,0,0,0,1,0,0,0,188.3339609,2110.197591,571.8920635,43.22353782,1535.267921,636.6023309,75.69501551,0.004814424,0.047728523,0.17658304,0.008440745,NA
"Anoura fistulata",0,"XY","Anoura fistulata","Anoura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MUCHHALA, PATRICIO, & LUIS 2005",2005,"Mammals",1,63,"",1,"Phylogenetic Multiple Imputation",13,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,1,"Taxonomic Imputation",1,0,0,0,0,1,1,"Taxonomic Imputation",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anoura fistulata","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",12,-78.16237281,-2.307532386,0,2.307532386,"This work",0,0,0,0,1,0,0,0,180.9578823,2272.12689,510.648304,26.22587536,1608.552211,727.5473616,61.67719816,0.006980789,0.048873742,0.106940124,0.003530611,NA
"Anoura geoffroyi",0,"XY","Anoura geoffroyi","Anoura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1838",1838,"Mammals",0,73,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",19,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anoura geoffroyi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",875,-63.73339989,-3.910434377,0,3.910434377,"This work",0,0,0,0.027428571,0.972571429,0,0,0,227.4211538,1628.743259,1179.573545,66.4732466,735.349431,719.3458596,51.18951636,0.00451319,0.09160729,0.105908961,0.102918728,NA
"Anoura latidens",0,"XY","Anoura latidens","Anoura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","HANDLEY 1984",1984,"Mammals",0,65,"",1,"Phylogenetic Multiple Imputation",15.06,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anoura latidens","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",121,-74.03211521,5.720696964,0,5.720696964,"This work",0,0,0,0,1,0,0,0,206.3744219,2216.736379,450.0754306,48.78032441,1164.013397,1371.545634,66.72591206,0.00370343,0.038902484,0.142932599,0.015311397,NA
"Anoura luismanueli",0,"XY","Anoura luismanueli","Anoura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MOLINARI 1994",1994,"Mammals",1,57.25,"",1,"Phylogenetic Multiple Imputation",8.5,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anoura luismanueli","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",22,-72.48266338,6.730745571,0,6.730745571,"This work",0,0,0,0,1,0,0,0,187.3055791,1910.730596,424.4981587,44.23356927,1585.927591,381.6916745,108.2758955,0.006355607,0.061007215,0.266839892,0.012014068,NA
"Ardops nichollsi",1,"XAfusion","Ardops nichollsi","Ardops","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","THOMAS 1891",1891,"Mammals",0,70,"",1,"Phylogenetic Multiple Imputation",19.23,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Ardops nichollsi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",9,-61.02117626,14.64841893,1,14.64841893,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,258.9527736,1967.530808,915.6921014,37.55840144,15.37835542,131.7109238,301.510553,0.002141948,0.011235262,0.008192428,0,0
"Ariteus flavescens",1,"XAfusion","Ariteus flavescens","Ariteus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1831",1831,"Mammals",0,58,"",1,"Phylogenetic Multiple Imputation",11.9,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Ariteus flavescens","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",5,-77.31050231,18.15592776,1,18.15592776,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,253.2005276,1723.423194,1009.909665,43.12245149,102.419739,102.4121817,283.65959,0.006526297,0.045440533,0.046030407,0,0
