"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","AssessedStatus2","SourceStatus2","ThreatStatus","ImputedThreatStatus","AbsoluteLatitude","RangeSize","RangeSize_km2","Longitude","Latitude","Insularity","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","PropGrazingArea","PropAnthroHyde","DietInv","DietVend","DietVect","DietVfish","DietVunk","DietScav","DietFruit","DietNect","DietSeed","DietPlant","SourceDiet","DietBreadth","MaxLongevity","SourceLongevity","LitterSize","LitterSize_Metric","SourceLitterSize","DirectDev","LarvalStage","Viviparity","SourceDirectDev","SourceLarvalStage","BiomeNum_1","BiomeNum_2","BiomeNum_3","BiomeNum_4","BiomeNum_5","BiomeNum_6","BiomeNum_7","BiomeNum_8","BiomeNum_9","BiomeNum_10","BiomeNum_11","BiomeNum_12","BiomeNum_13","BiomeNum_14","PopulationTrend","Threat_1","Threat_2","Threat_3","Threat_4","Threat_5","Threat_6","Threat_7","Threat_8","Threat_9","Threat_10","Threat_11","Threat_12","ThreatSum","perc.acro"
"Anourosorex assamensis",0,"XY","Anourosorex assamensis","Anourosorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","ANDERSON 1875",1875,"Mammals",1,108,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",25.2,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0.1545,0.9931,1,"Phylogenetic Multiple Imputation",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anourosorex assamensis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,25.58995639,10,17604.59368,91.35954272,25.58995639,0,"This work",0,0,1,0,0,0,0,0,216.9266538,2951.163763,3900.120244,86.43979853,640.3708468,298.0369881,342.2461102,0.005183567,0.202252133,0.013457439,3.82e-05,0.013760682,0.220893139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","2.82","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.8,0,0,0.2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anourosorex schmidi",0,"XY","Anourosorex schmidi","Anourosorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","PETTERSON 1963",1963,"Mammals",1,108,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",37.2,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0.1726,0.9909,1,"Phylogenetic Multiple Imputation",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anourosorex schmidi","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","",NA,27.53392366,7,7900.24823,88.450741,27.53392366,0,"This work",0,0,0.714285714,0,0,0,0.285714286,0,123.198993,2543.018493,5010.75294,95.10474547,2240.313877,814.3495527,143.0757285,0.003179994,0.063036136,0.016248006,0.029666568,0.051791526,0.082464136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","2.82","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0,0,0,0.571428571,0.142857143,0,0,0,0,0.285714286,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anourosorex squamipes",0,"XY","Anourosorex squamipes","Anourosorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","MILNE-EDWARDS 1872",1872,"Mammals",0,110,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",20,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anourosorex squamipes","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,27.11290258,141,1188959.447,103.5965826,27.11290258,0,"This work",0,0,0.411347518,0,0,0,0.588652482,0,154.0778359,1263.777758,5530.05474,79.66697475,1371.141545,497.5849452,158.5190064,0.005213171,0.107847831,0.078809086,0.002317997,0.085500518,0.191870088,1,0,0,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","2.82","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.624113475,0,0,0.24822695,0.092198582,0,0,0,0,0.035460993,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083333333
"Anourosorex yamashinai",0,"XY","Anourosorex yamashinai","Anourosorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","KURODA 1935",1935,"Mammals",0,98,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",20,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0.126,0.9941,1,"Phylogenetic Multiple Imputation",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anourosorex yamashinai","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,23.74390791,8,37648.00722,120.9682417,23.74390791,1,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,1,0,0,0,0,0,191.6858514,2348.084856,4128.177436,65.19118288,481.5040146,246.9915141,637.5310992,0.0284558,0.06599364,0.101664974,0,0.104006572,0.196114414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","2.82","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blarina brevicauda",0,"XY","Blarina brevicauda","Blarina","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","SAY 1823",1823,"Mammals",0,120.8,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",28,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarina brevicauda","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,43.99046752,429,4106802.678,-88.71327097,43.99046752,0,"This work",0,0,0,1,0,0,0,0,76.70423536,831.9122632,10099.04062,35.03536248,382.3286747,219.60047,49.49103046,0.010306045,0.172858392,0.05087395,0.058645157,0.118008576,0.234038386,1,0,0,0,1,0,0,0,0,1,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,2.75,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","5.39","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0,0,0,0.508158508,0.013986014,0.146853147,0,0.331002331,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Blarina carolinensis",0,"XY","Blarina carolinensis","Blarina","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","BACHMAN 1837",1837,"Mammals",0,71,"HBL",0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",28,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,0,0,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",0.25,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarina carolinensis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,32.72568298,111,866107.4127,-86.63700247,32.72568298,0,"This work",0,0,0,1,0,0,0,0,181.4223368,1331.987377,6744.127626,22.07444197,70.37152441,133.7765108,56.76648795,0.013028679,0.14115524,0.053336979,0.00129617,0.073711355,0.207520898,1,0,0,0,1,0,0,0,0,1,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,2.75,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","3.95","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0,0,0,0.27027027,0.09009009,0,0.072072072,0.567567568,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Blarina hylophaga",0,"XY","Blarina hylophaga","Blarina","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","ELLIOT 1899",1899,"Mammals",0,71,"HBL",0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",28,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,0,0,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",0.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarina hylophaga","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,37.10925545,79,728070.3712,-93.96301792,37.10925545,0,"This work",0,0,0,1,0,0,0,0,143.8743243,1019.610011,8928.723973,31.31436424,282.5777877,159.0358928,29.3993959,0.008132516,0.249713214,0.099425071,0.098908888,0.231706554,0.357270801,1,0,0,0,1,0,0,0,0,1,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,2.8,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","4.5","Midpoint","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0,0,0,0.303797468,0.075949367,0,0,0.620253165,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76
"Blarinella griselda",0,"XY","Blarinella griselda","Blarinella","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","THOMAS 1912",1912,"Mammals",0,79,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",8,0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarinella griselda","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,32.19941018,63,439060.7775,107.7842343,32.19941018,0,"This work",0,0,0.174603175,0,0,0,0.825396825,0,133.974633,1030.172514,6636.66283,73.71428575,1386.028514,431.9151912,167.6816044,0.005404413,0.135610427,0.103235602,0.000615129,0.104704314,0.244250441,1,0,0,0,0,0,0,0,0,1,"Peng, Tao, Li, Fan, Chen, Fu, ..., and Tang, 2023, Biodivers. Sci., 31:22474",2,NA,"","","","",1,0,1,"Assumed for this work","Assumed for this work",0.53968254,0,0,0.380952381,0,0,0,0,0,0.079365079,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blarinella quadraticauda",0,"XY","Blarinella quadraticauda","Blarinella","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","MILNE-EDWARDS 1872",1872,"Mammals",0,81,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",12.5,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarinella quadraticauda","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","NT",0,30.20322786,6,17607.18264,102.777575,30.20322786,0,"This work",0,0,0,0,0,0,1,0,90.44801697,1064.706962,6216.57863,85.477959,2301.872693,908.173206,160.9179087,0.006745378,0.061559803,0.097404278,0.00456465,0.110084294,0.165709459,1,0,0,0,0,0,0,0,0,0,"Lintulaakso, 2022. MammalBase - Dataset 02: Mammalian diets. University of Helsinki, Luonnontieteellinen keskusmuseo. https://doi.org/10.23729/dba945eb-8536-4954-a6a6-be9f457c80c9",1,NA,"","","","",1,0,1,"Assumed for this work","Assumed for this work",0,0,0,0.333333333,0.5,0,0,0,0,0.166666667,0,0,0,0,NA,1,1,0,0,1,0,0,0,0,0,0,0,3,NA
"Blarinella wardi",0,"XY","Blarinella wardi","Blarinella","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","THOMAS 1915",1915,"Mammals",0,75,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",12.5,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarinella wardi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,25.33145079,18,114888.3894,99.18366508,25.33145079,0,"This work",0,0,0.555555556,0,0,0,0.444444444,0,156.6041759,1456.406962,4334.476389,81.28063709,1851.020278,490.8362331,78.6038194,0.002930504,0.063925574,0.078792411,0.000506935,0.082588006,0.14564849,1,0,0,0,0,0,0,0,0,0,"Lintulaakso, 2022. MammalBase - Dataset 02: Mammalian diets. University of Helsinki, Luonnontieteellinen keskusmuseo. https://doi.org/10.23729/dba945eb-8536-4954-a6a6-be9f457c80c9",1,NA,"","","","",1,0,1,"Assumed for this work","Assumed for this work",0.833333333,0,0,0,0.111111111,0,0,0,0,0.055555556,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
