Family,Species,Sex,Known or assumed karyotype?,Citation,Comments
Herpestidae,Atilax paludinosus,YAfusion,Known,Blackmon et al. (2019),NA
Herpestidae,Bdeogale crassicauda,XY,Assumed,NA,NA
Herpestidae,Bdeogale jacksoni,XY,Assumed,NA,NA
Herpestidae,Bdeogale nigripes,XY,Known,Wurster and Benirschke (1968),NA
Herpestidae,Bdeogale omnivora,XY,Assumed,NA,NA
Herpestidae,Crossarchus alexandri,XY,Known,Perez et al. (2006),"While this karyotype has been studied, certain chromosome morphology attributes relevant to our study were not recorded."
Herpestidae,Crossarchus ansorgei,XY,Assumed,NA,NA
Herpestidae,Crossarchus obscurus,XY,Known,Blackmon et al. (2019),NA
Herpestidae,Crossarchus platycephalus,XY,Assumed,NA,NA
Herpestidae,Cynictis penicillata,XY,Known,Blackmon et al. (2019),NA
Herpestidae,Dologale dybowskii,XY,Assumed,NA,NA
Herpestidae,Helogale hirtula,XY,Known,Perez et al. (2006),"While this karyotype has been studied, certain chromosome morphology attributes relevant to our study were not recorded."
Herpestidae,Helogale parvula,XY,Known,Blackmon et al. (2019),NA
Herpestidae,Herpestes flavescens,XY,Assumed,NA,NA
Herpestidae,Herpestes ichneumon,YAfusion,Known,Blackmon et al. (2019),NA
Herpestidae,Herpestes ochraceus,XY,Assumed,NA,NA
Herpestidae,Herpestes pulverulentus,YAfusion,Known,Blackmon et al. (2019),NA
Herpestidae,Herpestes sanguineus,YAfusion,Known,Fredga (1972),NA
Herpestidae,Ichneumia albicauda,XY,Known,Wurster and Benirschke (1968),NA
Herpestidae,Liberiictis kuhni,XY,Assumed,NA,NA
Herpestidae,Mungos gambianus,XY,Assumed,NA,NA
Herpestidae,Mungos mungo,XY,Known,Blackmon et al. (2019),NA
Herpestidae,Paracynictis selousi,XY,Assumed,NA,NA
Herpestidae,Rhynchogale melleri,XY,Known,Perez et al. (2006),"While this karyotype has been studied, certain chromosome morphology attributes relevant to our study were not recorded."
Herpestidae,Suricata suricatta,XY,Known,Wurster and Benirschke (1968),NA
Herpestidae,Urva auropunctata,YAfusion,Known,"Fredga (1972), Murata et al. (2016)","Due to the lack of Urva auropunctata (small Indian mongoose) in the mammal phylogeny from Upham et al. (2019), we considered it synonymous with Urva javanica (Javan mongoose) given their putatively identical karyotypes, including a shared Y-autosome fusion, according to Fredga (1972)."
Herpestidae,Urva brachyura,YAfusion,Known,Fredga (1972),NA
Herpestidae,Urva edwardsii,YAfusion,Known,Fredga (1972),NA
Herpestidae,Urva fusca,YAfusion,Known,Fredga (1972),NA
Herpestidae,Urva javanica,YAfusion,Known,Blackmon et al. (2019),NA
Herpestidae,Urva semitorquata,XY,Assumed,NA,NA
Herpestidae,Urva smithii,XY,Assumed,NA,NA
Herpestidae,Urva urva,YAfusion,Known,Fredga (1972),NA
Herpestidae,Urva vitticollis,XY,Assumed,NA,NA
Herpestidae,Xenogale naso,XY,Assumed,NA,NA
Soricidae,Anourosorex assamensis,XY,Assumed,NA,NA
Soricidae,Anourosorex schmidi,XY,Assumed,NA,NA
Soricidae,Anourosorex squamipes,XY,Known,Blackmon et al. (2019),NA
Soricidae,Anourosorex yamashinai,XY,Assumed,NA,NA
Soricidae,Blarina brevicauda,XY,Known,Blackmon et al. (2019),NA
Soricidae,Blarina carolinensis,XY,Known,Blackmon et al. (2019),NA
Soricidae,Blarina hylophaga,XY,Known,Blackmon et al. (2019),NA
Soricidae,Blarinella griselda,XY,Assumed,NA,NA
Soricidae,Blarinella quadraticauda,XY,Assumed,NA,NA
Soricidae,Blarinella wardi,XY,Assumed,NA,NA
Soricidae,Chimarrogale hantu,XY,Assumed,NA,NA
Soricidae,Chimarrogale himalayica,XY,Assumed,NA,NA
Soricidae,Chimarrogale phaeura,XY,Assumed,NA,NA
Soricidae,Chimarrogale platycephalus,XY,Assumed,NA,NA
Soricidae,Chimarrogale styani,XY,Assumed,NA,NA
Soricidae,Chimarrogale sumatrana,XY,Assumed,NA,NA
Soricidae,Chodsigoa caovansunga,XY,Assumed,NA,NA
Soricidae,Chodsigoa hypsibia,XY,Assumed,NA,NA
Soricidae,Chodsigoa lamula,XY,Assumed,NA,NA
Soricidae,Chodsigoa parca,XY,Assumed,NA,NA
Soricidae,Chodsigoa parva,XY,Assumed,NA,NA
Soricidae,Chodsigoa salenskii,XY,Assumed,NA,NA
